City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
4,Jamestown,US,78.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
10,Hithadhoo,MV,81.03,overcast clouds,-0.6,73.0833,Scoop Guest House
11,Eyl,SO,75.9,few clouds,7.9803,49.8164,Amiin Hotel
17,Butaritari,KI,83.57,few clouds,3.0707,172.7902,Isles Sunset Lodge
23,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
24,Erzin,TR,81.32,clear sky,36.9559,36.2,Artemis Otel
27,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
34,Wilmington,US,80.94,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
39,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
43,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
47,Marsh Harbour,BS,83.59,few clouds,26.5412,-77.0636,Abaco Beach Resort
51,Mayo,US,83.89,clear sky,38.8876,-76.5119,Resorts Resource Group International
61,Diban,SY,83.95,clear sky,35.0365,40.5167,مساكن الشرطة بمدينة ذيبان
62,Saint Anthony,US,77.25,light rain,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
74,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
80,Lompoc,US,79.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
82,Athens,GR,84.16,clear sky,37.9795,23.7162,Novotel Athenes
84,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
85,Subang,ID,78.35,few clouds,-7.1277,108.5283,TPU BAGUS JAYA NGOHOL
89,Samarai,PG,78.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
92,Westport,US,75.61,moderate rain,41.1415,-73.3579,The Westport Inn
93,Bardiyah,LY,78.4,clear sky,31.7561,25.0865,بورتو بردية
99,Bengkulu,ID,76.33,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
103,Yamada,JP,76.28,overcast clouds,39.4667,141.95,Iroha-ya Inn
107,Bubaque,GW,79.16,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
120,Tezu,IN,77.11,overcast clouds,27.9167,96.1667,Circuit House
123,Atuona,PF,77.58,light rain,-9.8,-139.0333,Villa Enata
125,Tutoia,BR,79.77,scattered clouds,-2.7619,-42.2744,Pousada Guará's
132,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
139,Dingle,PH,77.81,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
144,Colombia,CU,83.12,few clouds,20.9881,-77.4297,Casa Lazara y Pupi
150,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
151,Maryville,US,84.4,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
158,Ajdabiya,LY,81.86,clear sky,30.7554,20.2263,Almadina Hotel
161,Sabancuy,MX,83.64,broken clouds,18.9667,-91.1833,pulpo
165,Izumo,JP,80.55,mist,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
167,Griffith,US,83.05,scattered clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
173,Taungdwingyi,MM,78.1,overcast clouds,20.0167,95.55,NayNaing MobileService
174,Faanui,PF,79.09,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
176,Kavieng,PG,84.38,light rain,-2.5744,150.7967,Nusa Island Retreat
182,Rajsamand,IN,76.51,broken clouds,25.0667,73.8833,dev heritage
190,Bachaquero,VE,82.0,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
191,Itoman,JP,82.78,mist,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
192,Serik,TR,84.45,clear sky,36.9169,31.0989,Armas Belek - Ultra All Inclusive
195,Lodwar,KE,81.3,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
197,Torrevieja,ES,79.38,overcast clouds,37.9787,-0.6822,Hotel Fontana Plaza
200,Acarau,BR,79.29,few clouds,-2.8856,-40.12,castelo pizzaria
202,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
211,Gizo,SB,82.62,light rain,-8.103,156.8419,Imagination Island
214,Lorengau,PG,83.28,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
216,Watertown,US,76.86,few clouds,42.3709,-71.1828,Apt downtown Waltham
219,Pathalgaon,IN,75.78,broken clouds,22.5667,83.4667,Queens Park Marriage Garden
220,Kieta,PG,83.71,light rain,-6.2167,155.6333,Uruna Bay Retreat
230,San Onofre,CO,78.15,overcast clouds,9.7359,-75.5263,Hotel Sinai
236,Marshalltown,US,81.28,clear sky,42.0494,-92.908,Best Western Regency Inn
246,Faya,SA,75.72,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
251,Puntarenas,CR,80.53,overcast clouds,9.9763,-84.8384,Michael's Surfside Hotel
253,Veraval,IN,81.14,overcast clouds,20.9,70.3667,Lords Inn Somnath
