City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Port Alfred,ZA,-33.5906,26.891,58.71,63,27,28.39,light rain
1,Dikson,RU,73.5069,80.5464,41.22,95,100,13.18,overcast clouds
2,Busselton,AU,-33.65,115.3333,52.09,70,100,29.04,overcast clouds
3,Boa Vista,BR,2.8197,-60.6733,84.18,70,75,4.61,broken clouds
4,Viedma,AR,-40.8135,-62.9967,47.37,43,0,7.61,clear sky
5,Kokopo,PG,-4.352,152.2633,76.51,85,78,7.63,broken clouds
6,Belyy Yar,RU,53.6039,91.3903,67.89,77,13,2.24,few clouds
7,Kapaa,US,22.0752,-159.319,79.12,77,90,11.5,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,44.71,61,75,31.07,broken clouds
9,Sitka,US,57.0531,-135.33,57.09,82,90,8.05,light rain
10,Kloulklubed,PW,7.0419,134.2556,77.5,72,94,8.86,overcast clouds
11,Srandakan,ID,-7.9386,110.2506,76.98,87,55,9.57,broken clouds
12,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,68,0,12.64,clear sky
13,Port Elizabeth,ZA,-33.918,25.5701,59.09,67,75,24.16,light rain
14,Komsomolskiy,UZ,40.4272,71.7189,93.92,12,0,13.8,clear sky
15,Mardin,TR,37.3131,40.7436,88.86,26,20,6.91,few clouds
16,Yantzaza,EC,-3.8278,-78.7594,75.74,77,76,1.36,light rain
17,Bengkulu,ID,-3.8004,102.2655,77.14,88,100,3.56,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,42.48,94,100,5.82,overcast clouds
19,Talcahuano,CL,-36.7167,-73.1167,46.08,81,0,4.61,clear sky
20,Saint-Philippe,RE,-21.3585,55.7679,72.95,86,28,4.45,scattered clouds
21,Rikitea,PF,-23.1203,-134.9692,73.6,81,23,10.78,few clouds
22,Hithadhoo,MV,-0.6,73.0833,82.29,68,100,3.85,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,42.46,75,75,4.61,broken clouds
24,East London,ZA,-33.0153,27.9116,63.54,36,0,26.46,clear sky
25,Port Macquarie,AU,-31.4333,152.9167,53.56,77,72,6.55,broken clouds
26,Carnarvon,AU,-24.8667,113.6333,66.27,64,90,10.36,overcast clouds
27,Jamestown,US,42.097,-79.2353,81.99,83,1,6.91,clear sky
28,Delta Del Tigre,UY,-34.7633,-56.3853,50.11,99,90,8.99,heavy intensity drizzle
29,Tautira,PF,-17.7333,-149.15,73.42,76,87,14.54,overcast clouds
30,Bunbury,AU,-33.3333,115.6333,51.82,71,99,31.43,overcast clouds
31,Yellowknife,CA,62.456,-114.3525,48.72,100,75,8.05,broken clouds
32,Atuona,PF,-9.8,-139.0333,76.35,78,16,19.77,few clouds
33,Avarua,CK,-21.2078,-159.775,71.65,94,20,6.91,few clouds
34,Hilo,US,19.7297,-155.09,71.33,80,90,5.75,overcast clouds
35,Tsumeb,NA,-19.2333,17.7167,83.75,8,27,2.42,scattered clouds
36,Kalanchak,UA,46.2562,33.2907,87.96,36,94,14.81,overcast clouds
37,Champerico,GT,14.3,-91.9167,82.35,77,100,7.94,overcast clouds
38,Bahia Honda,CU,22.9036,-83.1592,85.53,61,5,9.91,clear sky
39,Tasiilaq,GL,65.6145,-37.6368,48.36,95,100,10.65,light rain
40,Skelleftea,SE,64.7507,20.9528,62.01,69,90,1.99,light rain
41,Upernavik,GL,72.7868,-56.1549,41.9,87,99,6.17,overcast clouds
42,Vaini,TO,-21.2,-175.2,68.16,88,75,6.91,broken clouds
43,Pisco,PE,-13.7,-76.2167,62.65,72,90,2.3,overcast clouds
44,Matara,LK,5.9485,80.5353,77.72,85,100,11.39,overcast clouds
45,Northam,GB,51.0333,-4.2167,66.65,87,100,17.56,overcast clouds
46,Provideniya,RU,64.3833,-173.3,44.69,85,87,10.51,overcast clouds
47,Bluff,NZ,-46.6,168.3333,42.8,80,63,18.3,broken clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,71.56,85,94,8.99,overcast clouds
49,College,US,64.8569,-147.8028,51.78,95,90,8.05,moderate rain
50,Jurm,AF,36.8648,70.8342,74.01,30,13,4.97,few clouds
51,Albany,US,42.6001,-73.9662,81.14,67,79,5.93,broken clouds
52,Seoul,KR,37.5683,126.9778,81.97,61,75,6.91,broken clouds
53,Yamethin,MM,20.4333,96.15,79.11,83,100,6.49,overcast clouds
54,Saint George,US,37.1041,-113.5841,87.53,25,1,0.0,clear sky
55,Qaanaaq,GL,77.484,-69.3632,38.61,65,18,10.8,few clouds
56,Bandarbeyla,SO,9.4942,50.8122,76.91,82,70,35.57,broken clouds
57,Pevek,RU,69.7008,170.3133,37.24,85,97,0.45,overcast clouds
58,Souillac,MU,-20.5167,57.5167,73.36,94,75,4.61,broken clouds
59,Forecariah,GN,9.4306,-13.0881,78.66,94,99,5.48,moderate rain
60,Vana-Vigala,EE,58.7806,24.2522,69.84,92,88,5.77,moderate rain
61,Flin Flon,CA,54.7682,-101.865,57.04,82,75,3.44,broken clouds
62,Bud,US,39.447,-86.1758,75.56,83,73,11.21,broken clouds
63,Kintampo,GH,8.0563,-1.7306,76.53,79,94,6.15,light rain
64,Vao,NC,-22.6667,167.4833,66.24,62,59,22.35,broken clouds
65,Roma,US,43.2128,-75.4557,76.86,89,1,5.75,haze
66,Vilyuysk,RU,63.7553,121.6247,71.98,54,95,5.79,overcast clouds
67,Cape Town,ZA,-33.9258,18.4232,61.12,63,20,1.99,few clouds
68,Tiznit,MA,29.5833,-9.5,74.26,54,0,12.53,clear sky
69,Sisimiut,GL,66.9395,-53.6735,45.09,76,100,13.85,overcast clouds
70,Castro,BR,-24.7911,-50.0119,71.85,40,38,8.19,scattered clouds
71,Narsaq,GL,60.9167,-46.05,53.82,43,0,2.71,clear sky
72,Vila Do Maio,CV,15.1333,-23.2167,86.79,81,56,9.82,broken clouds
73,Lewiston,US,44.1003,-70.2148,72.91,95,90,4.61,overcast clouds
74,Bukachacha,RU,52.9833,116.9167,57.97,98,100,5.28,light rain
75,Kathu,TH,7.9178,98.3332,80.42,81,13,10.78,few clouds
76,Savonlinna,FI,61.8699,28.88,66.25,100,90,8.05,overcast clouds
77,Suez,EG,29.9737,32.5263,98.55,20,0,11.43,clear sky
78,Hofn,IS,64.2539,-15.2082,55.42,82,20,4.61,few clouds
79,Poquoson,US,37.1224,-76.3458,84.0,78,1,8.05,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,61,0,16.11,clear sky
