City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Landerneau,48.4525,-4.2525,63.79,74,75,19.57,FR,2021-08-08 17:04:28
1,Jamestown,42.097,-79.2353,82.09,65,75,5.99,US,2021-08-08 17:04:28
2,Coihaique,-45.5752,-72.0662,48.15,53,0,3.44,CL,2021-08-08 17:04:29
3,Port Alfred,-33.5906,26.891,66.11,59,61,16.71,ZA,2021-08-08 17:04:29
4,Ushuaia,-54.8,-68.3,38.55,81,94,4.99,AR,2021-08-08 17:03:16
5,Airai,-8.9266,125.4092,54.7,87,37,1.68,TL,2021-08-08 17:04:29
6,Chokurdakh,70.6333,147.9167,50.94,62,82,7.76,RU,2021-08-08 17:04:30
7,Busselton,-33.65,115.3333,56.08,85,38,23.55,AU,2021-08-08 17:04:30
8,Malatya,38.5,38.0,77.05,34,75,18.41,TR,2021-08-08 17:04:30
9,Sao Filipe,14.8961,-24.4956,79.97,78,18,9.06,CV,2021-08-08 17:04:31
10,Bonnyville,54.2668,-110.735,60.12,71,89,13.8,CA,2021-08-08 16:59:50
11,Gandajika,-6.75,23.95,84.65,17,97,1.3,CD,2021-08-08 17:04:31
12,Lake City,30.1897,-82.6393,90.75,46,2,3.65,US,2021-08-08 17:04:31
13,Mataura,-46.1927,168.8643,35.47,99,99,3.6,NZ,2021-08-08 17:04:32
14,Mitsamiouli,-11.3847,43.2844,77.02,66,43,7.36,KM,2021-08-08 17:00:49
15,San Patricio,28.017,-97.5169,93.06,52,9,17.72,US,2021-08-08 17:04:32
16,Nokaneng,-19.6667,22.2667,70.75,13,0,4.9,BW,2021-08-08 17:04:32
17,Hermanus,-34.4187,19.2345,60.8,72,100,25.08,ZA,2021-08-08 17:03:56
18,Carman,49.4992,-98.0016,82.72,28,27,12.8,CA,2021-08-08 17:00:25
19,Kimbe,-5.5502,150.1429,75.29,92,99,3.6,PG,2021-08-08 17:04:33
20,Cristobal Obregon,16.35,-93.5333,78.06,65,71,2.19,MX,2021-08-08 17:04:34
21,Inuvik,68.3499,-133.7218,48.24,59,38,6.53,CA,2021-08-08 17:04:34
22,Tuktoyaktuk,69.4541,-133.0374,43.43,78,100,10.51,CA,2021-08-08 17:03:16
23,Ixtapa,20.7,-105.2,87.22,66,1,2.3,MX,2021-08-08 17:04:34
24,Nikolskoye,59.7035,30.7861,71.49,89,99,3.22,RU,2021-08-08 17:04:35
25,Yeppoon,-23.1333,150.7333,58.78,82,3,10.69,AU,2021-08-08 17:04:35
26,Kholodnyy,62.7167,147.95,44.37,87,2,2.82,RU,2021-08-08 17:04:35
27,Port Elizabeth,-33.918,25.5701,61.72,79,86,16.8,ZA,2021-08-08 17:01:07
28,Souillac,-20.5167,57.5167,69.37,88,91,17.85,MU,2021-08-08 17:04:35
29,Bluff,-46.6,168.3333,35.8,64,64,15.77,NZ,2021-08-08 17:04:36
30,Rikitea,-23.1203,-134.9692,74.44,74,38,11.54,PF,2021-08-08 17:03:40
31,Arraial Do Cabo,-22.9661,-42.0278,75.06,60,20,16.11,BR,2021-08-08 17:04:36
32,Avarua,-21.2078,-159.775,69.85,83,90,3.44,CK,2021-08-08 17:00:48
33,Leningradskiy,69.3833,178.4167,36.43,83,59,15.17,RU,2021-08-08 17:04:37
34,Cabo San Lucas,22.8909,-109.9124,91.51,65,20,3.0,MX,2021-08-08 17:04:37
35,Abu Samrah,35.3029,37.1841,82.15,48,0,16.35,SY,2021-08-08 17:04:37
36,Chuy,-33.6971,-53.4616,68.07,74,81,6.76,UY,2021-08-08 17:04:38
37,Hithadhoo,-0.6,73.0833,82.71,72,97,5.79,MV,2021-08-08 17:04:38
38,Mareeba,-17.0,145.4333,65.12,92,26,2.59,AU,2021-08-08 17:02:01
39,Upernavik,72.7868,-56.1549,40.89,87,89,4.5,GL,2021-08-08 17:04:27
40,Klaksvik,62.2266,-6.589,54.52,92,85,9.62,FO,2021-08-08 17:04:38
41,Benguela,-12.5763,13.4055,73.51,82,49,7.02,AO,2021-08-08 17:04:39
42,Aripuana,-9.1667,-60.6333,98.82,20,6,3.44,BR,2021-08-08 17:04:39
43,Anloga,5.7947,0.8973,77.38,83,85,16.71,GH,2021-08-08 17:04:39
44,Ballina,-28.8667,153.5667,55.78,65,100,10.09,AU,2021-08-08 17:04:40
45,Victoria,22.2855,114.1577,86.05,93,100,1.99,HK,2021-08-08 17:00:13
46,Puerto Ayora,-0.7393,-90.3518,71.55,84,37,13.0,EC,2021-08-08 17:02:53
47,Hobart,-42.8794,147.3294,44.46,84,10,3.0,AU,2021-08-08 17:00:10
48,Caravelas,-17.7125,-39.2481,75.81,59,16,10.4,BR,2021-08-08 17:04:40
49,Albany,42.6001,-73.9662,85.62,64,91,2.53,US,2021-08-08 17:02:16
50,Georgetown,5.4112,100.3354,82.89,81,20,0.0,MY,2021-08-08 17:03:46
51,Terekli-Mekteb,44.1671,45.8698,94.46,31,26,8.5,RU,2021-08-08 17:04:41
52,Provideniya,64.3833,-173.3,44.46,86,100,14.09,RU,2021-08-08 17:04:41
53,Vaini,-21.2,-175.2,62.76,94,20,2.3,TO,2021-08-08 17:04:41
54,Noumea,-22.2763,166.4572,62.58,64,75,10.85,NC,2021-08-08 17:04:08
55,Otradnoye,59.7775,30.8181,71.65,89,97,3.13,RU,2021-08-08 17:04:42
56,Cape Town,-33.9258,18.4232,58.87,85,100,5.01,ZA,2021-08-08 17:00:50
57,Nyurba,63.2842,118.3319,61.23,98,92,2.42,RU,2021-08-08 17:02:36
58,Yulara,-25.2406,130.9889,49.42,37,0,6.55,AU,2021-08-08 17:04:42
59,Yellowknife,62.456,-114.3525,50.72,48,65,9.78,CA,2021-08-08 17:01:27
60,Vaitape,-16.5167,-151.75,78.84,74,42,13.15,PF,2021-08-08 17:04:43
61,Honolulu,21.3069,-157.8583,75.96,74,9,1.01,US,2021-08-08 17:02:40
62,Mar Del Plata,-38.0023,-57.5575,50.02,66,0,13.8,AR,2021-08-08 17:04:43
63,Castro,-24.7911,-50.0119,70.57,47,26,6.62,BR,2021-08-08 17:04:43
64,Krasnokamensk,50.0979,118.0369,61.12,84,68,2.08,RU,2021-08-08 17:04:44
65,Lompoc,34.6391,-120.4579,77.11,94,90,0.0,US,2021-08-08 17:01:07
66,Tabas,33.5959,56.9244,94.42,10,0,7.99,IR,2021-08-08 17:04:44
67,Torbay,47.6666,-52.7314,77.88,77,100,13.33,CA,2021-08-08 17:03:21
68,Praya,14.9215,-23.5087,84.74,70,40,10.36,CV,2021-08-08 17:02:14
69,Saldanha,-33.0117,17.9442,58.15,82,100,17.31,ZA,2021-08-08 17:04:45
70,Tuatapere,-46.1333,167.6833,35.82,84,99,6.82,NZ,2021-08-08 17:04:45
71,Dikson,73.5069,80.5464,48.34,73,2,3.51,RU,2021-08-08 17:04:45
